,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint george,37.1041,-113.5841,50.0,40,1,18.41,US,1611891972
1,bonthe,7.5264,-12.505,76.35,85,19,2.21,SL,1611892493
2,vaini,-21.2,-175.2,77.0,100,90,14.97,TO,1611891963
3,bethel,41.3712,-73.414,17.6,49,1,8.05,US,1611891991
4,hilo,19.7297,-155.09,73.4,68,75,10.36,US,1611891814
5,zheleznodorozhnyy,55.7503,38.0042,33.01,93,90,13.42,RU,1611892494
6,port elizabeth,-33.918,25.5701,60.8,82,0,11.5,ZA,1611891943
7,marawi,7.9986,124.2928,80.01,80,95,1.99,PH,1611892032
8,rikitea,-23.1203,-134.9692,80.17,67,55,7.65,PF,1611891949
9,pevek,69.7008,170.3133,-22.02,87,100,0.43,RU,1611891962
10,punta arenas,-53.15,-70.9167,39.27,81,24,14.74,CL,1611891947
11,havelock,34.8791,-76.9013,34.0,64,1,8.05,US,1611892496
12,bredasdorp,-34.5322,20.0403,59.0,72,8,9.22,ZA,1611891946
13,olginskaya,47.1879,39.9492,33.71,90,97,10.2,RU,1611892496
14,portland,45.5234,-122.6762,41.77,86,55,0.83,US,1611891735
15,mar del plata,-38.0023,-57.5575,72.0,88,90,9.22,AR,1611891744
16,te anau,-45.4167,167.7167,53.6,58,86,3.27,NZ,1611891949
17,akbarpur,26.4167,82.55,57.7,47,0,5.57,IN,1611892497
18,srednekolymsk,67.45,153.6833,-21.3,87,100,7.23,RU,1611891997
19,khatassy,61.9036,129.6383,-37.59,77,100,1.41,RU,1611892498
20,tiksi,71.6872,128.8694,-29.11,85,92,7.36,RU,1611891957
21,cherskiy,68.75,161.3,-29.96,85,2,2.13,RU,1611891954
22,hithadhoo,-0.6,73.0833,82.15,70,31,8.08,MV,1611891966
23,ust-kuyga,70.0167,135.6,-45.18,74,56,5.77,RU,1611892499
24,castro,-24.7911,-50.0119,65.48,93,100,4.5,BR,1611891948
25,burgeo,47.6167,-57.6152,19.08,92,9,8.21,CA,1611892500
26,tasiilaq,65.6145,-37.6368,24.8,86,90,12.66,GL,1611891960
27,mataura,-46.1927,168.8643,48.0,80,97,8.01,NZ,1611891943
28,bend,44.0582,-121.3153,33.8,93,20,4.61,US,1611892501
29,birao,10.2849,22.7882,72.21,17,80,8.9,CF,1611892501
30,imuris,30.7833,-110.8667,55.27,40,2,4.97,MX,1611892501
31,cidreira,-30.1811,-50.2056,73.36,94,100,21.81,BR,1611891971
32,aljezur,37.3191,-8.8033,54.0,100,61,4.81,PT,1611892504
33,plainview,40.7765,-73.4673,21.2,42,1,18.41,US,1611892467
34,chokurdakh,70.6333,147.9167,-17.81,88,100,7.43,RU,1611891952
35,caravelas,-17.7125,-39.2481,74.73,88,0,3.36,BR,1611892504
36,port lincoln,-34.7333,135.8667,70.34,65,66,14.54,AU,1611891952
37,longyearbyen,78.2186,15.6401,-4.0,54,20,20.71,SJ,1611891996
38,khatanga,71.9667,102.5,-43.92,73,0,3.09,RU,1611891951
39,araouane,18.9048,-3.5265,63.46,25,0,11.16,ML,1611892505
40,tuatapere,-46.1333,167.6833,53.01,64,92,9.17,NZ,1611892035
41,bengkulu,-3.8004,102.2655,81.19,71,100,7.29,ID,1611891746
42,benjamin constant,-4.3831,-70.0311,74.46,97,100,1.7,BR,1611892506
43,inta,66.0317,60.1659,-29.34,83,0,7.58,RU,1611892507
44,chestermere,51.0334,-113.8187,6.8,85,90,5.75,CA,1611892471
45,albany,42.6001,-73.9662,14.0,55,19,12.62,US,1611891911
46,georgetown,5.4112,100.3354,84.2,65,20,5.75,MY,1611891956
